run_id,re-prompt_policy,(re)prompt_source,re-prompt_count,single_shot_video?,model,clip_id,iou_median,iou_p25,iou_p75,biou_median,biou_p25,biou_p75,jitter_norm_median_pct,jitter_norm_p95_pct,area_cv_pct,empty_frames_pct,proc_fps_measured,proc_fps_theoretical,target_W,target_H,stride,overlay_observation
1,"centroid_jump, area_change, empty_streak",gt,0,N,SAM-2,clip_sharp,0.672753304,0.534071222,0.750912055,0.485035643,0.344550513,0.577268004,4.008302808,12.47460794,56.70514671,16.66666667,14.6360111,25,1280,720,1,"with re-prompting disabled, sam2 can still segment billboard with 1 frame seed when the billboard postion is similar."
2,"centroid_jump, area_change, empty_streak",gt,45,N,SAM-2,clip_sharp,0.667507887,0.534289286,0.750799492,0.481176972,0.345480643,0.579276681,4.0496521,16.33019943,56.52066211,14.58333333,14.7118921,25,1280,720,1,
3,shot_starts,gt,6,N,SAM-2,clip_sharp,0.683008462,0.630127311,0.796246871,0.463160187,0.411627136,0.55537118,3.553748369,17.01524973,133.2261928,8.333333333,15.18083025,25,1280,720,1,Masks are significantly more accurate and stable than in run #1 & run #2
4,shot_starts,OWL-ViT,6,N,SAM-2,clip_sharp,0.057843531,0.041358795,0.621517956,0.202050075,0.148932841,0.465191275,2.396021128,23.47685776,100.4690391,0,3.00384826,25,1280,720,1,Heavy spill-over on the first frame. Wrong boxes. But billboard was accurately segmented on a couple of following frames
5,shot_starts,YOLO11s_train7,6,N,SAM-2,clip_sharp,0.670883111,0.48989969,0.791439222,0.477921237,0.397031425,0.572528434,3.867634058,15.02140503,127.0190838,18.75,2.620247143,25,1280,720,1,
6,shot_starts,YOLO11n_train8,6,N,SAM-2,clip_sharp,0.505247504,0.114967345,0.72502782,0.405811793,0.293494768,0.498552427,4.26175642,20.36096935,110.811548,14.58333333,2.760033958,25,1280,720,1,Heavy spill-over on the first frame
7,"centroid_jump, area_change, empty_streak",gt,0,N,SAM-2,clip_occlusion,0.633406878,0,0.697908327,0.345775187,0,0.392201774,0.941231191,12.16199627,80.36147424,36,15.48459694,25,1280,720,1,SAM-2 recovers the mask when the billboard is in the similar position as in the seeding gt frame
8,"centroid_jump, area_change, empty_streak",gt,60,N,SAM-2,clip_occlusion,0.629834443,0.096668014,0.697950855,0.344054192,0.021813037,0.384343356,1.808257937,30.22064972,112.3324222,20,14.01772916,25,1280,720,1,
9,shot_starts,gt,8,N,SAM-2,clip_occlusion,0.702916831,0.639164492,0.788481981,0.380582437,0.316963114,0.403445117,3.235348463,13.51548195,152.2835101,0,16.09869173,25,1280,720,1,
10,shot_starts,OWL-ViT,8,N,SAM-2,clip_occlusion,0.01838918,0,0.413868941,0.03949555,0,0.364502564,0.784329116,36.37933731,145.8871362,0,3.160207991,25,1280,720,1,
